"Acad_Prog","Descr","Acad_Org"
"ACASM","Adv.Cert Aborig Studies Music","CASM"
"ACENG","Academic English","P&CONTED"
"ADAMU","Adv.Dip Aborig Stud. in Music","CASM"
"ADASM","Ass.Dip Aborig Studies Music","CASM"
"ADHHM","Adv.Dip Horse Husbandry & Mgmt","SCHAG&WINE"
"ADMUJ","Ass.Dip Music (Jazz)","ELDERCON"
"AEGT","Acad English Geology Training","P&CONTED"
"BABEC","B.Arts with B.Economics","H&SSFO"
"BABME","B.Arts/B.Music Education","H&SSFO"
"BABMU","B.Arts/B.Mus","H&SSFO"
"BABSC","B.Arts/B.Science","H&SSFO"
"BAG","B.Agriculture","SCHAG&WINE"
"BAGBU","B.Agricultural Business","SCHAG&WINE"
"BAGS","B.Agricultural Sciences","SCHAG&WINE"
"BAGSC","B.Ag Science","SCHAG&WINE"
"BAPB","B.Applied Biology","SCHAG&WINE"
"BAPPB","B. Applied Biology","SCHAG&WINE"
"BAPSC","B.App Science","SCHAG&WINE"
"BARBL","B.Architecture/B.Landscape Arc","ARCH&URBD"
"BARCH","B.Architecture","ARCH&URBD"
"BARST","B.Architectural Studies","ARCH&URBD"
"BARTA","B.Arts (Advanced)","H&SSFO"
"BARTS","B.Arts","H&SSFO"
"BBIOT","B.Biotechnology","SCIFO"
"BBIT","B.Business Info Technology","BUSSCH"
"BCMSA","B.Computer Science (Advanced)","ENGMATHFO"
"BCOGR","B.Computer Graphics","ENGMATHFO"
"BCOM","B.Commerce","BUSSCH"
"BCOMP","B.Computer Science","ENGMATHFO"
"BCRIM","B.Criminology","SOCIALINQ"
"BDEST","B.Architectural Design","ARCH&URBD"
"BDS","B.Dental Surgery","DENTAL"
"BDVST","B.International Development","H&SSFO"
"BEBA0","B.Engineering & B.Arts","ENGMATHFO"
"BEBA1","BE(Honours)(Chemical) & BArts","ENGMATHFO"
"BEBA2","BE(Honours)(CivEnv) & BArts","ENGMATHFO"
"BEBA3","BE(Honours)(CivilSt) & BArts","ENGMATHFO"
"BEBA4","BE(Honours)(CompSys) & BArts","ENGMATHFO"
"BEBA5","BE(Honours)(E&E) & BArts","ENGMATHFO"
"BEBA6","BE(Honours)(Mech) & BArts","ENGMATHFO"
"BEBA7","BE(Honours)(Mechat) & BArts","ENGMATHFO"
"BEBA8","BE(Honours)(Telecom) & BArts","ENGMATHFO"
"BEBA9","BE(Honours)(MechAero) & BArts","ENGMATHFO"
"BEBE1","B.E(Civ&St) & B.E(Civ&Env)","ENGMATHFO"
"BEBSP","BE(Honours)(E&E) & BSc","ENGMATHFO"
"BEC","B.Economics","ECONOMICSS"
"BECA","B.Economics (Advanced)","ECONOMICSS"
