"Term","Course_ID","Offer_Nbr","Class_Nbr","Section","Enrl_Stat","Class_Stat","Assoc","Session","Auto_Enrol","Auto_Enr_2","Class_Type","Cap_Enrl","Tot_Enrl","Comb_Sects_ID","Combined_Sect_Cap_Enrl","Combined_Sect_Tot_Enrl"
"3720","105978","1","22640","PR04","Open","Active","10","1","","","Non-Enrol","16","9","0004","18","12"
"3720","105972","1","22637","PR04","Open","Active","10","1","","","Non-Enrol","4","3","0004","18","12"
"3720","105978","1","22642","PR02","Closed","Active","10","1","","","Non-Enrol","7","7","0002","18","13"
"3720","105972","1","22639","PR02","Open","Active","10","1","","","Non-Enrol","14","6","0002","18","13"
"3720","105972","1","24599","PR01","Open","Active","10","1","","","Non-Enrol","14","12","0001","18","16"
"3720","105978","1","24598","PR01","Open","Active","10","1","","","Non-Enrol","6","4","0001","18","16"
"3720","105978","1","22641","PR03","Open","Active","10","1","","","Non-Enrol","7","6","0003","18","16"
"3720","105972","1","22638","PR03","Open","Active","10","1","","","Non-Enrol","14","10","0003","18","16"
"3710","101952","1","12542","PR01","Open","Active","10","1","","","Non-Enrol","15","13","","",""
"3710","017312","1","14007","WR14","Open","Active","10","1","","","Non-Enrol","44","39","","",""
"3720","104443","1","23218","PR03","Closed","Active","10","1","","","Non-Enrol","8","8","","",""
"3710","108303","1","12280","SG03","Open","Active","10","1","","","Non-Enrol","35","10","","",""
"3710","104404","1","13792","LA12","Closed","ToBeCancel","10","1","","","Non-Enrol","8","1","","",""
"3720","109011","1","20658","WR03","Open","Active","10","1","","","Non-Enrol","30","28","","",""
"3710","016878","1","14816","PR01","Open","Active","10","1","","","Non-Enrol","54","50","","",""
"3720","108280","1","24553","TU04","Open","Active","10","1","","","Non-Enrol","30","29","","",""
"3710","100279","1","15197","TU01","Closed","Active","10","1","","","Non-Enrol","20","20","","",""
"3710","104583","1","13817","SG05","Open","Active","14","1","","","Non-Enrol","30","28","","",""
"3720","102244","1","24090","WR10","Open","Active","10","1","","","Non-Enrol","20","19","","",""
"3710","001956","2","12889","WR01","Open","Active","10","1","","","Non-Enrol","40","36","","",""
"3720","004242","1","21013","LE01","Open","Active","10","1","","","Non-Enrol","30","22","","",""
