"Eff_Date","Course_ID","Status","Short_Title","Long_Title","Min_Units","Max_Units","Prgrss_Unt","Grading","Last_Crse","Enrl_Unt_Calc","Descr"
"01/01/2017","001064","I","Financial strategies for techn","Financial strategies for technology-based ventures","3.00","3.00","3.00","M10","N","1","How to raise capital?  When? How to harvest the wealth, through exit and other financial strategies?  These are the questions we tackle.  We demystify the arcane world of finance.  You will be able to understand and converse about the topic, as it helps you create wealth through technology commercialisation.
Examines financial planning methods for determining capital requirements, and various ways of financing growth and making investment decisions. Among the forms of financing examined are angels and informal investors, venture capital, debt capital, and inside and outside equity. Students create plans for the financing of a technology venture."
"01/01/2017","001068","I","Man Prod Des & Dev","Managing Product Design and Development","3.00","3.00","3.00","M10","N","1","Managing Design and Product Development is focussed on the operational decisions that managers and entrepreneurs must make to design and develop their products for operational excellence within their organisation and satisfying their customers. These decisions include technology platforms, product development process and designing for the whole system and supply chain from input resources to the customer product use and disposal. Included are techniques to enhance and maintain their competitive position."
"01/01/2017","001106","A","Final (Sixth Yr) MBBS Asses","Final (Sixth Year) MBBS Assessment","0.00","0.00","0.00","GS8","N","1",""
"01/01/2017","001110","A","Software Architecture PG","Software Architecture","3.00","3.00","3.00","M10","N","1","The following are the main topics to be covered in this course:
Introduction to the fundamentals of software architecture.
Software architecture and quality requirements of a software system.
Fundamental principles and guidelines for software architecture design, architectural styles, patterns and frameworks.
Methods, techniques and tools for describing software architecture and documenting design rationale.
Software architecture design and evaluation processes.
Rationale and architectural knowledge management in software architecting.
Approaches and tools for designing and evaluating software architectures for the state of the art technologies such as cloud-computing and service-operation and mobile computing.
Future challenges and emerging trends in software architecture discipline."
"01/01/2017","001123","I","Creating Wealth Through Intern","Creating Wealth Through Internationalisation","3.00","3.00","3.00","M10","N","1","How to take new technology or intellectual property international? 
That is the question we tackle in this course. We take the viewpoint of the new venture - and the technopreneur - strapped for resources, navigating their way through technology transfer issues. These include: readiness to do business overseas, selection of target markets, international market issues, ways of entry into international markets, start up international revenue generation and business management issues, as well as longer term international business issues. 
Course participants engage in role-playing exercises designed around an international commercialisation project. 
In the Team/Role Playing Project, you will work in teams, with each team being assigned to an imaginary `company. For each company there will be a given set of initial `facts about the technology being developed and marketed by the `company as well as certain information about staffing, funding, markets, and customers. 
The project is for the team to develop the company strategy and plan to take its technology to an international market and then to work and amend the plan as required as if in real life, including the simulated processes, steps, and activities to take the technology to the international market. 
Throughout the course, you will discuss 'war stories with Guest Speakers, the Course Co-ordinator, and fellow participants, both in live sessions and in asynchronous communication."
"01/01/2017","001153","A","Style Studies II MS Pt 2","Style Studies II MS Pt 2","2.00","2.00","1.00","M10","Y","2","Topic I - historical, theoretical and practical study of the stylistic characteristics of Jazz; inma studies.
Topic II - a survey of the main stylistic characteristics of Western 'art' music in historical and cultural context, including particular reference to contemporary Australian music; inma studies."
"01/01/2017","001175","A","Theory of Music II MS Pt 2","Theory of Music II MS Pt 2","4.00","4.00","2.00","M10","Y","2","Consolidation and application of theoretical knowledge covered in the Diploma in Aboriginal Studies in Music, and extension of this knowledge primarily through analysis and composition in the context of style."
"01/01/2017","001239","A","Int Iss in Nurs Serv Del","International Issues in Nursing Service Delivery","3.00","3.00","3.00","M10","N","1","This course is designed to introduce students to a variety of topical issues related to the health care system and nurses' roles within it, both on a national and international level. Topics will include health and the environment, the epidemiology of disease, epidemiological tools, poverty, global conflict, the economics of health care, political awareness, leadership and spheres of nursing."
"01/01/2017","001277","A","Perf II MS Pt 2","Performance II MS Pt 2","4.00","4.00","2.00","M10","Y","2","Further development of ensemble and performance skills through group rehearsals, in-house performance workshops, performance activities which may include public performances/school or community workshops/performance forum/tours as determined and approved by the Department, a recording project and a field studies trip to the Anangu Pitjantjatjara Lands. Includes the application of learning skills/behaviours; the development of repertoire, arranging skills and rehearsal techniques; and the application of music literacy as appropriate."
"01/01/2017","001313","A","Microbiol and Epidemiology","Microbiology and Epidemiology","6.00","6.00","6.00","M10","N","1","This course builds on the students' knowledge of basic microbiology and will consider the epidemiology of common infectious diseases seen within the Australian population.  The role of the infection control nurse will be considered in relation to epidemiological research, education and disease surveillance. Microbiology topics included the diagnosis, transmission and surveillance of infectious diseases."
