"Eff_Date","Course_ID","Offer_Nbr","Primary_Component","Enrol_Component","Final_Exam","Sect_Size","Contact","SPlus_Templates_Reqd","Component"
"01/01/2017","001064","1","SEM","","N","50","8.000","2.00","SEM"
"01/01/2017","001064","2","SEM","","N","50","8.000","2.00","SEM"
"01/01/2017","001068","1","SEM","SEM","N","20","8.000","12.00","SEM"
"01/01/2017","001068","2","SEM","","N","20","8.000","12.00","SEM"
"01/01/2017","001106","1","UNS","UNS","N","215","0.000","1.00","UNS"
"01/01/2017","001110","1","LEC","","Y","10","1.000","2.00","LEC"
"01/01/2017","001123","1","SEM","","N","25","8.000","2.00","SEM"
"01/01/2017","001123","2","SEM","","N","25","8.000","2.00","SEM"
"01/01/2017","001123","3","SEM","SEM","N","25","8.000","2.00","SEM"
"01/01/2017","001153","1","LEC","","Y","20","1.500","1.00","LEC"
"01/01/2017","001175","1","LEC","","Y","20","2.000","2.00","LEC"
"01/01/2017","001239","1","SEM","IND","N","35","0.000","1.00","IND"
"01/01/2017","001239","1","SEM","IND","N","35","3.000","5.00","SEM"
"01/01/2017","001277","1","PFM","","Y","20","4.000","1.00","PFM"
"01/01/2017","001313","1","IND","IND","N","30","0.000","1.00","IND"
"01/01/2017","001346","1","THE","","N","40","1.000","1.00","THE"
"01/01/2017","001371","1","LEC","TUT","N","20","1.000","1.00","TUT"
"01/01/2017","001371","1","LEC","TUT","Y","40","1.000","4.00","LEC"
"01/01/2017","001427","1","LEC","","Y","55","4.000","4.00","PRA"
"01/01/2017","001427","1","LEC","","Y","110","1.000","2.00","LEC"
"01/01/2017","001430","1","LEC","","Y","10","1.000","1.00","LEC"
"01/01/2017","001458","1","LEC","","N","65","4.000","1.00","PRA"
"01/01/2017","001458","1","LEC","","N","65","8.000","1.00","FLD"
"01/01/2017","001458","1","LEC","","Y","65","2.000","1.00","LEC"
"01/01/2017","001462","1","LEC","","N","25","1.000","1.00","TUT"
"01/01/2017","001462","1","LEC","","Y","25","1.000","1.00","LEC"
"01/01/2017","001496","1","LEC","WRK","N","15","2.000","1.00","WRK"
"01/01/2017","001496","1","LEC","WRK","Y","100","1.000","1.00","LEC"
"01/01/2017","001538","1","LEC","","Y","5","1.000","3.00","LEC"
"01/01/2017","001552","1","LEC","","N","25","1.000","1.00","TUT"
"01/01/2017","001552","1","LEC","","Y","25","1.000","1.00","LEC"
"01/01/2017","001596","1","DST","DST","Y","50","0.000","1.00","DST"
"01/01/2017","001625","1","LEC","","N","35","1.000","1.00","TUT"
"01/01/2017","001625","1","LEC","","N","35","1.000","1.00","WRK"
"01/01/2017","001625","1","LEC","","Y","35","1.000","3.00","LEC"
"01/01/2017","001636","1","LEC","LEC","Y","35","3.000","3.00","LEC"
"01/01/2017","001636","2","LEC","","Y","35","3.000","3.00","LEC"
"01/01/2017","001676","1","PJT","","Y","10","0.000","1.00","PJT"
"01/01/2017","001679","1","LEC","","Y","10","0.000","1.00","LEC"
"01/01/2017","001718","1","WRK","WRK","N","25","2.000","2.00","WRK"
"01/01/2017","001724","1","LEC","","N","25","1.000","1.00","TUT"
"01/01/2017","001724","1","LEC","","Y","25","2.000","1.00","LEC"
"01/01/2017","001733","1","LEC","","Y","50","1.000","3.00","LEC"
"01/01/2017","001806","1","SEM","","Y","25","2.000","1.00","SEM"
"01/01/2017","001809","1","LEC","TUT","N","25","1.000","1.00","SGD"
"01/01/2017","001809","1","LEC","TUT","N","25","1.000","5.00","TUT"
"01/01/2017","001809","1","LEC","TUT","Y","300","1.000","2.00","LEC"
"01/01/2017","001809","3","LEC","TUT","N","25","1.000","1.00","SGD"
"01/01/2017","001809","3","LEC","TUT","N","25","1.000","5.00","TUT"
"01/01/2017","001809","3","LEC","TUT","Y","300","1.000","2.00","LEC"
"01/01/2017","001956","2","LEC","LEC","N","30","1.000","1.00","WRK"
"01/01/2017","001956","2","LEC","LEC","Y","180","1.000","2.00","LEC"
"01/01/2017","001956","3","LEC","LEC","N","30","1.000","1.00","WRK"
"01/01/2017","001956","3","LEC","LEC","Y","180","1.000","2.00","LEC"
"01/01/2017","001958","1","LEC","","N","25","4.000","1.00","PRA"
"01/01/2017","001958","1","LEC","","Y","25","1.000","2.00","LEC"
"01/01/2017","001958","3","LEC","","N","25","4.000","1.00","PRA"
"01/01/2017","001958","3","LEC","","Y","25","1.000","2.00","LEC"
"01/01/2017","001962","1","SEM","","N","25","1.000","1.00","WRK"
"01/01/2017","001962","1","SEM","","Y","25","2.000","2.00","SEM"
"01/01/2017","002072","1","LEC","","N","65","4.000","1.00","COM"
"01/01/2017","002072","1","LEC","","N","65","4.000","1.00","PRA"
"01/01/2017","002072","1","LEC","","N","65","8.000","1.00","FLD"
"01/01/2017","002072","1","LEC","","Y","65","1.000","2.00","LEC"
"01/01/2017","002076","1","LEC","LEC","N","20","1.000","1.00","TUT"
"01/01/2017","002076","1","LEC","LEC","Y","480","1.000","2.00","LEC"
"01/01/2017","002076","3","LEC","","N","20","1.000","1.00","TUT"
"01/01/2017","002076","3","LEC","","Y","480","1.000","2.00","LEC"
"01/01/2017","002076","4","LEC","","N","20","1.000","1.00","TUT"
