"Eff_Date","Course_ID","Offer_Nbr","Contact_Hours_YN","Contact_Hours","Restriction_YN","Restriction","Avail_NAWD","Quota_YN","Quota","Pre-Requisite_YN","Pre-Requisite","Co-Requisite_YN","Co-Requisite","Assumed_Knowl_YN","Assumed_Knowl","Incompatible_YN","Incompatible","Assessment_YN","Assessment","Biennial_Course_YN","Biennial_Course"
"01/01/2017","001064","1","Y","Intensive - a minimum of 36 hours","N","","Y","N","","N","","N","","N","","N","","Y","Individual and group paper, contribution to discussion online and during workshops","N",""
"01/01/2017","001064","2","Y","Intensive - a minimum of 36 hours","N","","Y","N","","N","","N","","N","","N","","Y","Individual and group paper, contribution to discussion online and during workshops","N",""
"01/01/2017","001068","1","Y","Intensive: 36-40 hours","N","","Y","N","","N","","N","","N","","N","","Y","individual & group paper, contribution to discussion online & during workshops","N",""
"01/01/2017","001106","1","Y","4 x 4 week placements,16 wk afternoon seminar program, 1 week program in ENT; 4 x 4 placement","Y","Available to MBBS students only","N","N","","N","","N","","N","","N","","Y","details provided at start of year","N",""
"01/01/2017","001110","1","Y","Up to 2 hours per week","N","","Y","N","","N","","N","","N","","N","","Y","Exam and/or Assignments","N",""
"01/01/2017","001123","1","Y","Intensive:  36 - 40 hours","N","","Y","N","","N","","N","","N","","N","","Y","individual & group paper, contribution to discussion online & during workshops","N",""
"01/01/2017","001123","2","Y","Intensive  -36 to 40 hours","N","","Y","N","","N","","N","","N","","N","","N","","N",""
"01/01/2017","001153","1","Y","1.5 hours per week","Y","Available to Aboriginal and Torres Strait Islander students only","N","N","","Y","MUSIC 1021 A/B or MUSIC 2002A","N","","N","","N","","Y","Topic I attendance and participation 30%, major assignment 20%; Topic II attendance and participation 15%, assignments 20%, concert report 15%","N",""
"01/01/2017","001175","1","Y","3 x 1 hour lectures or equivalent per week","Y","Available to Aboriginal and Torres Strait Islander students only","N","N","","Y","MUSIC 1010 A/B, MUSIC 2003A","N","","N","","N","","Y","Attendance, participation 10%, assignments and class tests 50%, semester exams 40%","N",""
"01/01/2017","001239","1","Y","Online","Y","Available to MNSc students only","N","N","","N","","N","","N","","N","","Y","Online quiz, portfolio of activities","N",""
"01/01/2017","001277","1","Y","2 x 1.5 hour rehearsals and 1 x 1 hour Performance Forum per week","Y","Available to Aboriginal and Torres Strait Islander students only","N","N","","Y","MUSIC 1013 A/B  or, in exceptional circumstances, a Distinction (or higher) in MUSIC 1014 A/B","N","","N","","N","","Y","attendance, participation 20%, rehearsals 30%, in-house performance workshop /performance forum/public performances/school or community workshops, approved by department 20%, recording project 10%, field studies trip10%, performance workbook 10%","N",""
"01/01/2017","001313","1","Y","Online","Y","Available to GCert.NursSc and M.NursSc students only","N","N","","N","","N","","N","","N","","Y","Referencing module, essay, online quiz, portfolio of activities","N",""
"01/01/2017","001346","1","N","","Y","Available only to students admitted to a relevant Honours program","N","N","","Y","At least 12 units of Level III Mathematical Sciences courses at credit standard or above, of which at least 9 units must be from Statistics courses.","N","","N","","N","","Y","exams, project, seminar","N",""
"01/01/2017","001371","1","Y","Up to 3 hours per week","Y","Available to MFin&BusEc, MHlthEcPol, GCertAppEc, GCertIntEc, GDipIntEc, GDipAppEc & MAppEc students only","Y","N","","Y","ECON 7051 or equivalent","N","","Y","Basic OLS (ordinary least squares) regression model, introductory statistics","N","","Y","Typically, tutorial participation, tests, assignments & a final exam","N",""
"01/01/2017","001427","1","Y","Up to 6 hours per week","N","","Y","N","","N","","N","","Y","6 units of Level II Environmental Biology courses & STATS 1000  or equivalent","N","","Y","Quizzes (in practicals), assignments and exam","N",""
"01/01/2017","001430","1","Y","1 hour lecture or equivalent per week","Y","Aboriginal and Torres Strait Islander students only","N","N","","Y","MUSIC 1018 A/B","N","","N","","N","","Y","attendance, participation 20%, assignments 80%","N",""
"01/01/2017","001458","1","Y","Up to 6 hours per week, plus field trip","N","","Y","N","","N","","N","","Y","ENV BIOL 2500","N","","Y","Practical Reports; Field trip report; Group field trip oral report; Group lecture topic presentation; Exam","N",""
"01/01/2017","001462","1","Y","1.5 hour lecture per week","Y","Available to Aboriginal & Torres Strait Islander students only","N","N","","N","","N","","N","","N","","Y","attendance and participation 40%; assignments 60%","N",""
"01/01/2017","001496","1","Y","Up to 3 hours per week","Y","Not available to BE students. May not be presented towards BMaSc(Adv)","Y","N","","Y","MATHS 1012 or COMP SCI 1102","N","","N","","Y","CHEM ENG 3004, C&ENVENG 3000, ELEC ENG 3012, MECH ENG 3006","Y","assignments, essays, presentations","N",""
"01/01/2017","001538","1","N","","N","","N","N","","N","","N","","N","","N","","Y","ongoing assessment 30%, exam 70%","N",""
"01/01/2017","001552","1","Y","1 lecture, 1 tutorial per week","N","","N","N","","N","","N","","N","","N","","Y","attendance and participation 20%; assignments 50%; two examinations (one at the end of each semester) 30%","N",""
"01/01/2017","001596","1","N","","Y","Available to MPH students only","N","N","","Y","Completion of MPH coursework","N","","N","","N","","Y","Dissertation","N",""
"01/01/2017","001625","1","Y","Up to 9 hours per week","Y","Available to BSc(Biotech) students only","N","N","","Y","MICRO 2504, BIOCHEM 2502","N","","N","","N","","Y","Written exam, project","N",""
"01/01/2017","001636","1","Y","Up to 3 hours per week","N","","CHK","N","","N","","N","","N","","N","","N","","N",""
"01/01/2017","001636","2","N","","N","","N","N","","N","","N","","N","","N","","N","","N",""
"01/01/2017","001676","1","Y","Up to 10 hours per week","N","","N","N","","N","","N","","N","","N","","Y","literature review, research proposal, seminar","N",""
"01/01/2017","001718","1","Y","Up to 4 hours per week","N","","Y","N","","N","","N","","N","","Y","Not available to students who obtained B or higher in SACE Stage 2 German or equivalent","Y","Regular assessments, tests, end of semester test, oral exam","N",""
"01/01/2017","001724","1","Y","Up to 42 hours","N","","Y","N","","N","","N","","Y","Linear algebra (matrices), probability theory, linear systems & MATLAB","N","","Y","details at start of semester","N",""
"01/01/2017","001733","1","Y","Up to 3 hours per week","N","","Y","N","","Y","MATHS 2101 and MATHS 2102 or MATHS 2201 and MATHS 2202","N","","Y","MATHS 2104","N","","Y","Ongoing assessment 30%, final exam 70%","N",""
"01/01/2017","001806","1","Y","Intensive","N","","CHK","N","","Y","Students without a Bachelor of Laws must have completed LAW 7177","N","","N","","N","","Y","participation, assignments/research paper and/or exam as determined at first seminar","N",""
"01/01/2017","001809","1","Y","Up to 4 hours per week","Y","Available to B Com students only - students outside of the program must seek approval from the Course Coordinator","Y","N","","Y","ACCTING 1002","N","","N","","N","","Y","Exam/assignments/tests/tutorial work as prescribed at first lecture","N",""
"01/01/2017","001809","3","N","","N","","N","N","","N","","N","","N","","N","","N","","N",""
"01/01/2017","001956","2","Y","Up to 2.5 hours per weeks","N","","Y","N","","Y","One of COMP SCI 1007, COMP SCI 1009, COMP SCI 1102, COMP SCI 1202 or COMP SCI 2202","N","","Y","MATHS1012 or MATHS 1008","N","","Y","written exam, assignments","N",""
"01/01/2017","001956","3","N","","N","","Y","N","","N","","N","","N","","N","","N","","N",""
"01/01/2017","001958","1","Y","Up to 6 hours per week","N","","N","N","","Y","OENOLOGY 3007WT & OENOLOGY 3047WT","N","","N","","N","","Y","Practicals, reports, written assignments & exams","N",""
"01/01/2017","001958","3","Y","Up to 6 hours per week, including field trips","Y","Available to UWA students only","N","N","","Y","OENOLOGY 3007WA & OENOLOGY 3047WA","N","","N","","N","","Y","Practicals, reports, written assignments & exams","N",""
"01/01/2017","001962","1","Y","Up to 5 hours per week","N","","Y","N","","Y","FREN 1002","N","","N","","N","","Y","regular assignments, tests, written exam","N",""
"01/01/2017","002072","1","Y","Up to 6 hours per week, plus field camp","N","","N","N","","N","","N","","Y","3 units of Level II Environmental Biology courses","Y","WRM 7024","Y","Essay, exam, field report","N",""
"01/01/2017","002076","1","Y","Up to 3 hours per week.  Intensive in Summer Semester.","N","","Y","Y","A quota will apply","N","","N","","N","","Y","WINEMKTG 1063EX","Y","Typically, tutorial assignments, weekly test, group assignment & final exam","N",""
"01/01/2017","002076","4","N","","N","","N","N","","N","","N","","N","","N","","N","","N",""
