"Eff_Date","Course_ID","Offer_Nbr","TTble_for_SPlus","Est_Enrol_Total","Enrol_Component","Summer_Semester","Semester_1","Winter_Semester","Semester_2","Trimester_1","Trimester_2","Trimester_3","Quadmester_1","Quadmester_2","Quadmester_3","Quadmester_4","PCE_1","PCE_2","PCE_3","Summer_Crse_Coordinator","Sem1_Crse_Coordinator","Winter_Crse_Coordinator","Sem2_Crse_Coordinator","Tri1_Crse_Coordinator","Tri2_Crse_Coordinator","Tri3_Crse_Coordinator","Quad1_Crse_Coordinator","Quad2_Crse_Coordinator","Quad3_Crse_Coordinator","Quad4_Crse_Coordinator","PCE1_Crse_Coordinator","PCE2_Crse_Coordinator","PCE3_Crse_Coordinator"
"01/01/2017","001064","1","N","100","","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","","","","","","","","","","","","",""
"01/01/2017","001064","2","N","20","","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","","","","","","","","","","","","",""
"01/01/2017","001068","1","N","20","SEM","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","","1154038","","","","","","","","","","","",""
"01/01/2017","001068","2","N","60","","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","","","","","","","","","","","","",""
"01/01/2017","001106","1","N","215","UNS","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","","","","1065800","","","","","","","","","",""
"01/01/2017","001110","1","Y","55","","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","","","","1652854","","","","","","","","","",""
"01/01/2017","001123","1","N","25","","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","","","","","","","","","","","","",""
"01/01/2017","001123","2","N","25","","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","","","","","","","","","","","","",""
"01/01/2017","001123","3","N","25","SEM","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","","","","","","","","","","","","","",""
"01/01/2017","001153","1","N","20","","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","","","","1065053","","","","","","","","","",""
"01/01/2017","001175","1","N","20","","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","","","","1065053","","","","","","","","","",""
"01/01/2017","001239","1","Y","35","IND","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","","","","1191714","","","","","","","","","",""
"01/01/2017","001277","1","N","20","","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","","","","1066245","","","","","","","","","",""
"01/01/2017","001313","1","N","30","IND","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","","","","1051066","","","","","","","","","",""
"01/01/2017","001346","1","N","5","","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","","","","","","","","","","","","","",""
"01/01/2017","001371","1","Y","40","TUT","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","","1196621","","","","","","","","","","","",""
"01/01/2017","001427","1","N","110","","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","","","","","","","","","","","","",""
"01/01/2017","001430","1","N","10","","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","","","","1066245","","","","","","","","","",""
"01/01/2017","001458","1","Y","65","","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","","","","1003139","","","","","","","","","",""
"01/01/2017","001462","1","Y","25","","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","","","","1065053","","","","","","","","","",""
"01/01/2017","001496","1","Y","100","WRK","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","","","","1025143","","","","","","","","","",""
"01/01/2017","001538","1","Y","5","","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","","1001485","","","","","","","","","","","",""
"01/01/2017","001552","1","Y","0","","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","","1065053","","1065053","","","","","","","","","",""
"01/01/2017","001596","1","N","35","DST","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","","1003302","","1003302","","","","","","","","","",""
"01/01/2017","001625","1","Y","35","","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","","","","1064995","","","","","","","","","",""
"01/01/2017","001636","1","N","35","LEC","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","1221807","","","","","","","","","","","","",""
"01/01/2017","001636","2","N","35","","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","","","","","","","","","","","","",""
"01/01/2017","001676","1","N","35","","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","","","","","","","","","","","","",""
"01/01/2017","001679","1","N","10","","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","","1055008","","1055008","","","","","","","","","",""
"01/01/2017","001718","1","Y","110","WRK","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","","1064807","","","","","","","","","","","",""
"01/01/2017","001724","1","Y","20","","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","","1618132","","","","","","","","","","","",""
"01/01/2017","001733","1","Y","50","","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","","1206554","","","","","","","","","","","",""
"01/01/2017","001806","1","N","25","","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","","","","","","","","","","","","",""
"01/01/2017","001809","1","N","300","TUT","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","","1066357","","","","","","","","","","","",""
"01/01/2017","001809","3","N","60","TUT","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","","1066357","","","","","","","","","","","",""
"01/01/2017","001956","2","Y","180","LEC","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","","1002160","","1061272","","","","","","","","","",""
"01/01/2017","001956","3","N","35","LEC","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","","","","","","","","","1002160","","","","",""
"01/01/2017","001958","1","Y","30","","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","","","","1018585","","","","","","","","","",""
"01/01/2017","001958","3","N","6","","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","","","","","","","","","","","","","",""
"01/01/2017","001962","1","Y","85","","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","","","","1616848","","","","","","","","","",""
"01/01/2017","002072","1","Y","50","","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","","1023990","","","","","","","","","","","",""
"01/01/2017","002076","1","N","460","LEC","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","1066214","","","","","","","","","","","","",""
"01/01/2017","002076","3","N","60","","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","","","","","","","","","","","","",""
"01/01/2017","002076","4","N","50","","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","","","","","","","","","","","","",""
"01/01/2017","002094","1","Y","85","","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","","","","1003082","","","","","","","","","",""
"01/01/2017","002110","1","Y","75","WRK","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","","","","1064807","","","","","","","","","",""
"01/01/2017","002126","1","Y","90","","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","","","","1169710","","","","","","","","","",""
"01/01/2017","002129","1","Y","83","","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","","","","1000598","","","","","","","","","",""
"01/01/2017","002137","1","Y","300","","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","","","","","","","","","","","","","",""
"01/01/2017","002183","1","N","5","","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","","","","","","","","","","","","","",""
"01/01/2017","002190","1","N","35","","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","","1064813","","1064813","","","","","","","","","",""
"01/01/2017","002193","1","N","55","","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","","","","","","","","","","","","",""
"01/01/2017","002255","1","N","20","","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","","1019938","","","","","","","","","","","",""
"01/01/2017","002314","2","Y","50","","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","","1184615","","","","","","","","","","","",""
"01/01/2017","002328","1","Y","170","","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","","1066092","","","","","","","","","","","",""
"01/01/2017","002328","3","N","35","","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","","","","","","","","","","1066092","","","",""
"01/01/2017","002328","4","N","10","","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","","","1065080","","","","","","","","","","",""
