"Subject","Catalogue","Eff_Date","Course_ID","Topic_ID","Descr","Short_Desc","Repeatable","Allowd_Unt","Allow_Comp","FormalDesc"
"APP MTH","4046","01/01/2017","102888","1","Math epidemiology Stoch models","MatEpiStMd","N","3.00","1","Mathematical epidemiology: Stochastic models"
"APP MTH","4046","01/01/2017","102888","2","Advanced Stochastic Processes","AdvStochPr","N","3.00","1","Advanced Stochastic Processes"
"APP MTH","4047","01/01/2017","102889","1","Water waves free-surface flows","WatWavFSFs","N","3.00","1","Water waves and free-surface flows"
"APP MTH","4047","01/01/2017","102889","2","Dynamical Systems","DynSystems","N","3.00","1","Dynamical Systems"
"APP MTH","4048","01/01/2017","102890","1","Advanced continuum mechanics","AdvConMech","N","3.00","1","Advanced continuum mechanics and finite elasticity"
"APP MTH","4048","01/01/2017","102890","2","Modelling Simulation Stoch Sys","ModSimStch","N","3.00","1","Modelling and Simulation of Stochastic Systems"
"APP MTH","4049","01/01/2017","102891","1","Chaotic dynamical systems","ChaDynSyst","N","3.00","1","Chaotic dynamical systems"
"APP MTH","4049","01/01/2017","102891","2","Adv Cont Mech Appl Fin Elstcty","AdvCntMech","N","3.00","1","Adv Continuum Mechanics Appln to Finite Elasticity"
"APP MTH","4051","01/01/2017","105636","1","Information theory and network","InfTheNetw","N","3.00","1","Information theory and networds"
"APP MTH","4051","01/01/2017","105636","2","Mat Analytic Meth Stoch Model","MatAnaMeth","N","3.00","1","Matrix Analytic Methods in Stochastic Modelling"
"APP MTH","7044","01/01/2017","005819","1","System Model and Simulation","SysModel","N","3.00","1","System Modelling and Simulation"
"APP MTH","7044","01/01/2017","005819","2","Modelling Simulation Stoch Sys","ModSimStch","N","3.00","1","Modelling and Simulation of Stochastic Systems"
"APP MTH","7045","01/01/2017","006501","1","Network & Modelling& Inference","NetwkModel","N","3.00","1","Network & Modelling& Inference"
"APP MTH","7045","01/01/2017","006501","2","Water waves free-surface flows","WatWavFSFs","N","3.00","1","Water waves and free-surface flows"
"APP MTH","7045","01/01/2017","006501","3","Math epid: Stoch model calibra","M epi stm","N","3.00","1","Math epidemiology: Stoch models & stat calibration"
"APP MTH","7045","01/01/2017","006501","4","Information theory and network","InfTheNetw","N","3.00","1","Information theory and networks"
"APP MTH","7045","01/01/2017","006501","5","Dynamical Systems","DynSystems","N","3.00","1","Dynamical Systems"
"APP MTH","7045","01/01/2017","006501","6","Model&SimulofTurbulentFlows","M&STFlows","N","3.00","1","Modelling and Simulation of Turbulent Flows"
"APP MTH","7048","01/01/2017","008510","1","Stochastic Analysis & Apps","StAnal&App","N","3.00","1","Stochastic Analysis & Applications"
"APP MTH","7048","01/01/2017","008510","2","Advanced Continuum Mechanics","AdvMech","N","3.00","1","Advanced Continuum Mechanics"
"APP MTH","7048","01/01/2017","008510","3","Math epidemiology Stoch models","MatEpiStMd","N","3.00","1","Mathematical epidemiology: Stochastic models"
"APP MTH","7048","01/01/2017","008510","4","Advanced Stochastic Processes","AdvStochPr","N","3.00","1","Advanced Stochastic Processes"
"APP MTH","7049","01/01/2017","008796","1","Advanced Mathematical Methods","AdvMthMeth","N","3.00","1","Advanced Mathematical Methods"
"APP MTH","7049","01/01/2017","008796","2","Finite Element Method in Heat","Heat&Fluid","N","3.00","1","The Finite Element Method in Heat and Fluid Flow"
"APP MTH","7049","01/01/2017","008796","3","Adv Cont Mech Appl Fin Elstcty","AdvCntMech","N","3.00","1","Adv Continuum Mechanics Appln to Finite Elasticity"
"APP MTH","7049","01/01/2017","008796","4","Dynamical Systems","DynamicSys","N","3.00","1","Dynamical Systems"
"APP MTH","7087","01/01/2017","105660","1","Finite Element Method in Heat","Heat&Fluid","N","3.00","1","The Finite Element Method in Heat and Fluid Flow"
"APP MTH","7087","01/01/2017","105660","2","Information theory and network","InfTheNetw","N","3.00","1","Information theory and networks"
"APP MTH","7087","01/01/2017","105660","3","Water waves free-surface flows","WatWavFSFs","N","3.00","1","Water waves and free-surface flows"
"APP MTH","7087","01/01/2017","105660","4","Mat Analytic Meth Stoch Model","MatAnaMeth","N","3.00","1","Matrix Analytic Methods in Stochastic Modelling"
"APP MTH","7088","01/01/2017","105661","1","Complex Network Modelling","NetwkModel","N","3.00","1","Complex Network Modelling and Inference"
"APP MTH","7088","01/01/2017","105661","2","Information theory & networks","Inf th net","N","3.00","1","Information theory & networks"
"APP MTH","7088","01/01/2017","105661","3","Applied Methods in Bio & Eng","AppMethBE","N","3.00","1","Applied Methods in Biology and Engineering"
