"ID","Term","Class_Nbr","Status","Reason","Acad_Prog","Add_Dt","Drop_Dt","Unit_Taken","Progress","Grade","Grade_In","Grade_Dt","Sdt_Positn","Grd_Points","Note_ID","Rpt_Candidat"
"1231230","3710","12893","E","ENRL","BENG","06/02/2017","","0.00","0.00","","","","330","0.000","","N"
"1231230","3710","15000","E","ENRL","BENG","06/02/2017","","3.00","3.00","F","11","07/07/2017","1860","4.500","","N"
"1231231","3710","12892","E","ENRL","BCOMP","03/01/2017","","0.00","0.00","","","","260","0.000","","N"
"1231231","3710","15000","E","ENRL","BCOMP","03/01/2017","","3.00","3.00","C","69","07/07/2017","1420","15.000","","N"
"1231232","3710","12890","D","DROP","BCOMP","15/12/2016","09/03/2017","0.00","0.00","","","","330","0.000","","N"
"1231232","3710","15000","D","DROP","BCOMP","15/12/2016","09/03/2017","3.00","3.00","","","","890","0.000","","N"
"1231234","3710","12890","E","ENRL","BCOMP","24/02/2017","","0.00","0.00","","","","460","0.000","","N"
"1231234","3710","15000","E","ENRL","BCOMP","24/02/2017","","3.00","3.00","FNS","FNS","07/07/2017","2320","0.000","","N"
"1231235","3710","12891","D","DROP","BCOMP","01/03/2017","10/03/2017","0.00","0.00","","","","590","0.000","","Y"
"1231235","3710","15000","D","DROP","BCOMP","01/03/2017","10/03/2017","3.00","3.00","","","","2400","0.000","","Y"
"1231236","3710","12891","E","ENRL","BCOMP","30/01/2017","","0.00","0.00","","","","360","0.000","","N"
"1231236","3710","15000","E","ENRL","BCOMP","30/01/2017","","3.00","3.00","C","70","07/07/2017","1780","15.000","","N"
"1231237","3710","12891","E","ENRL","BCOMP","31/01/2017","","0.00","0.00","","","","360","0.000","","N"
"1231237","3710","12890","D","DROP","BCOMP","30/01/2017","31/01/2017","0.00","0.00","","","","360","0.000","","N"
"1231237","3710","15000","E","ENRL","BCOMP","30/01/2017","","3.00","3.00","P","50","07/07/2017","240","12.000","US10","N"
"1122301","3720","22787","E","ENRL","BENG","31/03/2017","","0.00","0.00","","","","150","0.000","","Y"
"1122301","3720","24812","E","ENRL","BENG","31/03/2017","","3.00","3.00","","","","960","0.000","","Y"
"1122302","3720","22784","D","DROP","BENG","13/12/2016","25/07/2017","0.00","0.00","","","","160","0.000","","N"
"1122302","3720","22785","E","ENRL","BENG","25/07/2017","","0.00","0.00","","","","380","0.000","","N"
"1122302","3720","24812","E","ENRL","BENG","13/12/2016","","3.00","3.00","","","","250","0.000","","N"
"1122303","3720","22787","E","ENRL","BCOMP","20/07/2017","","0.00","0.00","","","","330","0.000","","N"
"1122303","3720","24812","E","ENRL","BCOMP","20/07/2017","","3.00","3.00","","","","1780","0.000","","N"
"1122305","3720","22788","E","ENRL","BEDS1","31/03/2017","","0.00","0.00","","","","110","0.000","","N"
"1122305","3720","24812","E","ENRL","BEDS1","31/03/2017","","3.00","3.00","","","","950","0.000","","N"
"1122306","3720","22788","E","ENRL","BENG","06/07/2017","","0.00","0.00","","","","170","0.000","","N"
"1122306","3720","24812","E","ENRL","BENG","06/07/2017","","3.00","3.00","","","","1450","0.000","","N"
"1122307","3720","22786","E","ENRL","BEDM3","09/07/2017","","0.00","0.00","","","","260","0.000","","Y"
"1122307","3720","24812","E","ENRL","BEDM3","09/07/2017","","3.00","3.00","","","","1520","0.000","","Y"
"1122308","3720","22787","E","ENRL","BCOMP","21/07/2017","","0.00","0.00","","","","340","0.000","","Y"
"1122308","3720","24812","E","ENRL","BCOMP","21/07/2017","","3.00","3.00","","","","1810","0.000","","Y"
"1122310","3720","22785","E","ENRL","BENG","13/12/2016","","0.00","0.00","","","","50","0.000","","N"
"1122310","3720","24812","E","ENRL","BENG","13/12/2016","","3.00","3.00","","","","340","0.000","","N"
"1122311","3720","22784","E","ENRL","BCOMP","22/06/2017","","0.00","0.00","","","","330","0.000","","N"
"1122311","3720","24812","E","ENRL","BCOMP","17/06/2017","","3.00","3.00","","","","1290","0.000","","N"
"1122333","3720","22784","E","ENRL","BENG","25/07/2017","","0.00","0.00","","","","370","0.000","","N"
"1122333","3720","22787","E","ENRL","BENG","25/07/2017","","0.00","0.00","","","","380","0.000","","N"
