"Acad_Group","Acad_Prog","Prog_Eff_Date","Acad_Plan","Eff_Date","Status","Descr","Short_Desc","Plan_Owner","Pct_Owned"
"AG","ADHHM","01/01/2006","ADIPHORSES","01/01/2006","A","A.Dip.Horse Husbandry & Mgmt","ADip.HHM","AgFoodWine","100.000"
"AG","BAG","01/01/2006","BAGRIC","01/01/2006","A","B.Agriculture","B.Ag","AgFoodWine","100.000"
"AG","BAGBU","01/01/2006","BAGBUS","01/01/2006","A","B.Agricultural Business","B.AgBus","AgFoodWine","100.000"
"AG","BAGSC","01/01/2006","BAGSC","06/11/2013","I","B.Agricultural Science","B.AgSc","Ag Off(I)","100.000"
"AG","BAGSC","01/01/2006","BAGSCHORT","01/01/2006","A","B.Ag Sc (Horticultural Sc)","B.AgSc(HS)","AgFoodWine","100.000"
"AG","BAGSC","01/01/2006","BAGSCIPM","01/01/2006","A","B.Ag Sc (Integ Pest Mgmt)","BAgSc(IPM)","AgFoodWine","100.000"
"AG","BAGSC","01/01/2006","BAGSCNEW","01/01/2006","A","B.Ag Science (New)","B.AgSc-new","AgFoodWine","100.000"
"AG","BAGSC","01/01/2006","BAGSCOEN","01/01/2006","A","B.Ag Sc (Oenology)","B.AgSc(O)","AgFoodWine","100.000"
"AG","BAGSC","01/01/2006","BAGSCVITSC","01/01/2006","A","B.Ag Sc (Viticultural Science)","B.AgSc(VS)","AgFoodWine","100.000"
"AG","BAGSC","01/01/2006","HBAGSC","01/01/2006","A","B.Agricultural Science - hons","HB.AgSc","AgFoodWine","100.000"
"AG","BAGSC","01/01/2006","HBAGSHORT","01/01/2006","A","B.Ag Sc (Hort Science) - hons","HB.AgSc(H)","AgFoodWine","100.000"
"AG","BAGSC","01/01/2006","HBAGSIPM","01/01/2006","A","B.Ag Sc (Integ Pest Mgmt)-hons","HBAgS(IPM)","AgFoodWine","100.000"
"AG","BAGSC","01/01/2006","HBAGSOEN","01/01/2006","A","B.Ag Sc (Oenology) -hons","HB.AgSc(O)","AgFoodWine","100.000"
"AG","BAGSC","01/01/2006","HBAGSPB","01/01/2006","A","B.Ag Sc (Plant Breeding)-hons","HB.AgSc(P)","AgFoodWine","100.000"
"AG","BAGSC","01/01/2006","HBAGSVITSC","01/01/2006","A","B.Ag Sc (Viticultural Sc)-hons","HB.AgSc(V)","AgFoodWine","100.000"
"AG","BAPSC","01/01/2006","BAPSCWINE","06/11/2013","I","B.App Sc (Wine Science)","BApSc(WSc)","Ag Off(I)","100.000"
"AG","BENSC","01/01/2015","BENVSC","01/01/2015","A","B.Environmental Science","B.EnvSc","SchBioSci","100.000"
"AG","BENVM","01/01/2015","BENVMGT","01/01/2015","A","B.Environmental Management","B.EnvMgt","SchBioSci","100.000"
"AG","BFT&M","01/01/2006","BFTMGT","01/01/2006","A","B.Food Tech & Management","B.FoodT&Mt","AgFoodWine","100.000"
"AG","BNRM","01/01/2015","BNATRESMGT","01/01/2015","A","B.Natural Resource Management","B.NRM","SchBioSci","100.000"
"AG","BREM","01/01/2006","BRURALEM","01/01/2006","A","B.Rural Enterprise Management","B.REM","AgFoodWine","100.000"
"AG","DIAGP","01/01/2006","DIPAGPROD","01/01/2006","A","Dip.Agricultural Production","Dip.AgProd","AgFoodWine","100.000"
"AG","DINRM","01/01/2015","DIPNATRESM","01/01/2015","A","Dip.Natural Resources Mgmt","Dip.NatRM","SchBioSci","100.000"
"AG","GCABU","01/05/2008","GCAGBUS","01/01/2006","A","GCert.Agricultural Business","GC.AgBus","AgFoodWine","100.000"
"AG","GCAFS","01/01/2010","GCAGR&FARM","01/01/2010","I","GCert.Agronomy & Farming Sys","GC.Ag&FS","Sch E&E Sc","100.000"
"AG","GCAGB","01/01/2010","GCAGBIOTY","01/01/2010","I","GCert.Agricultural Biotech","GC.AgBiot","AgFoodWine","100.000"
"AG","GCANP","01/01/2010","GCANIMALPR","01/01/2010","I","GCert.Animal Production","GC.AnimalP","AgFoodWine","100.000"
"AG","GCCPR","14/01/2005","GCCROPPROT","14/01/2005","I","GCert.Crop Protection","GC.CropP","Ag Office","100.000"
"AG","GCHOT","14/01/2005","GCHORT","14/01/2005","I","GCert.Horticulture","GC.Hort","Ag Office","100.000"
"AG","GCNRM","01/01/2010","GCNATRESMT","01/01/2010","I","GCert.Natural Resources Mgmt","GC.NatResM","Sch E&E Sc","100.000"
"AG","GCOEN","12/08/2014","GCOEN","12/08/2014","A","GCert.Oenology","GC.Oen","AgFoodWine","100.000"
"AG","GCPLS","01/01/2010","GCPLANTSCI","01/01/2010","I","GCert.Plant Science","GC.PlantSc","AgFoodWine","100.000"
"AG","GCPSM","08/08/2008","GCPIGSCMAN","08/08/2007","A","GCert.Pig Science & Management","GC.PigScMa","AgFoodWine","100.000"
"AG","GCSMC","01/01/2010","GCSOILMGT","01/01/2010","I","GCert.Soil Mgmt & Conservation","GC.SoilMgt","Sch E&E Sc","100.000"
"AG","GCVIT","08/08/2008","GCVIT","01/01/2006","A","GCert.Viticulture","GC.Vit","AgFoodWine","100.000"
"AG","GCVTS","01/01/2010","GCVETSTUD","01/01/2010","I","GCert.Veterinary Studies","GC.VetSt","AgFoodWine","100.000"
"AG","GDABU","01/05/2008","GDAGBUS","01/01/2006","A","GDip.Ag Business","GD.AgBus","AgFoodWine","100.000"
"AG","GDAFS","01/01/2010","GDAGR&FARM","01/01/2010","I","GDip.Agronomy & Farming Sys","GD.AgFarmS","Sch E&E Sc","100.000"
"AG","GDAGB","01/01/2010","GDAGBIOT","01/01/2010","I","GDip.Ag Biotech","GD.AgBio","AgFoodWine","100.000"
"AG","GDAGR","01/01/2010","GDAGRIC","01/01/2010","I","GDip.Agriculture","GD.Agric","AgFoodWine","100.000"
"AG","GDANP","01/01/2010","GDANIMALPR","01/01/2010","I","GDip.Animal Production","GD.AnimalP","AgFoodWine","100.000"
"AG","GDCPR","14/01/2005","GDCROPPROT","14/01/2005","I","GDip.Crop Protection","GD.CropP","Ag Office","100.000"
"AG","GDHOT","01/01/2010","GDHORT","01/01/2010","I","GDip.Horticulture","GD.Hort","AgFoodWine","100.000"
"AG","GDNAR","01/01/2010","GDNATRES","01/01/2010","I","GDip.Natural Resources","GD.NatRes","Sch E&E Sc","100.000"
"AG","GDNRM","01/01/2010","GDNATRESMT","01/01/2010","I","GDip.Natural Resources Mgmt","GD.NatResM","Sch E&E Sc","100.000"
"AG","GDOEN","06/07/2009","GDOEN","01/01/2006","A","GDip.Oenology","GD.Oen","AgFoodWine","100.000"
"AG","GDPLS","14/01/2005","GDPLANTSC","14/01/2005","I","GDip.Plant Science","GD.PlantSc","Ag Office","100.000"
"AG","GDPSM","08/08/2008","GDPIGSCMAN","08/08/2007","A","GDip.Pig Science & Management","GD.PigScMa","AgFoodWine","100.000"
"AG","GDSMG","01/01/2010","GDSOILM&C","01/01/2010","I","GDip.Soil Mgmt & Conservation","GD.SoilM&C","Sch E&E Sc","100.000"
"AG","GDVIT","08/08/2008","GDVIT","01/01/2006","A","GDip.Viticulture","GD.Vit","AgFoodWine","100.000"
"AG","GDVTS","01/01/2010","GDVETSTUD","01/01/2010","I","GDip.Veterinary Studies","GD.VetSt","AgFoodWine","100.000"
"AG","HAG","11/11/2013","HBAGRIC","11/11/2013","A","B.Agriculture - honours","HB.Ag","AgFoodWine","100.000"
"AG","HAGBS","01/01/2006","HBAGBUS","01/01/2006","A","B.Ag Business - honours","HB.AgBus","AgFoodWine","100.000"
"AG","HBNRM","01/01/2015","HBNRM","01/01/2015","A","B.Natural Resource Mgt - hons","B.NRM-hons","SchBioSci","100.000"
"AG","HENVM","01/01/2006","HBENVMGT","01/01/2006","I","B.Environmental Mgmt - honours","HB.EnvMgmt","Ag Off(I)","100.000"
"AG","HENVS","01/01/2006","HBENVSC","01/01/2006","A","B.Environmental Science - hons","HB.EnvSc","Sci Off","100.000"
"AG","MA&FS","01/01/2010","MAGFARMSYS","01/01/2010","I","M.Agronomy & Farming Systems","M.Ag&FarmS","Sch E&E Sc","100.000"
"AG","MAGBI","01/01/2010","MAGBIOTECH","01/01/2010","I","M.Agricultural Biotechnology","M.AgBiot","AgFoodWine","100.000"
"AG","MAGBU","01/05/2008","MAGBUS","01/01/2006","A","M.Ag Business","M.AgBus","AgFoodWine","100.000"
"AG","MAPRO","01/01/2010","MANIMALPR","01/01/2010","I","M.Animal Production","M.AnimProd","AgFoodWine","100.000"
"AG","MCRPR","14/01/2005","MCROPPROT","14/01/2005","I","M.Crop Protection","M.CropProt","Ag Office","100.000"
"AG","MHORT","01/01/2010","MHORT","01/01/2010","I","M.Horticulture","M.Hort","AgFoodWine","100.000"
"AG","MNRMG","01/01/2010","MNATRESMGT","01/01/2010","I","M.Natural Resources Mgmt","M.NatResM","Sch E&E Sc","100.000"
"AG","MOEN","12/08/2014","MOEN","12/08/2014","A","M.Oenology","M.Oen","AgFoodWine","100.000"
"AG","MPLSC","01/01/2010","MPLANTSC","01/01/2010","I","M.Plant Science","M.Plant Sc","AgFoodWine","100.000"
"AG","MPSM","08/08/2008","MPIGSCMAN","08/08/2007","A","M.Pig Science and Management","M.PigScMan","AgFoodWine","100.000"
"AG","MSM&C","01/01/2010","MSOILMGT&C","01/01/2010","I","M.Soil Mgmt & Conservation","M.SoilM&C","Sch E&E Sc","100.000"
"AG","MVETS","01/01/2010","MVETST","01/01/2010","I","M.Veterinary Studies","M.VetSt","AgFoodWine","100.000"
"AG","MVIT","12/08/2014","MVIT","12/08/2014","A","M.Viticulture","M.Vit","AgFoodWine","100.000"
"AG","PGDAB","01/01/2010","PGDAGBIOT","01/01/2010","I","PGDip.Ag Biotech","PGD.AgBio","AgFoodWine","100.000"
"AG","PGDAF","01/01/2010","PGDAGR&FRM","01/01/2010","I","PGDip.Agronomy & Farm Sys","PGD.AgFarS","Sch E&E Sc","100.000"
"AG","PGDAP","01/01/2010","PGDANIMALP","01/01/2010","I","PGDip.Animal Production","PGD.AnimlP","AgFoodWine","100.000"
"AG","PGDAU","01/01/2010","PGDABBUS","01/01/2010","I","PGDip.Agricultural Business","PGD.AgBus","AgFoodWine","100.000"
"AG","PGDCP","01/01/2010","PGDCROPPR","01/01/2010","I","PGDip.Crop Protection","PGD.CropP","AgFoodWine","100.000"
"AG","PGDHO","01/01/2010","PGDHORT","01/01/2010","I","PGDip.Horticulture","PGD.Hort","AgFoodWine","100.000"
"AG","PGDNR","01/01/2010","PGDNATRESM","01/01/2010","I","PGDip.Natural Res Mgmt","Pgd.Nrm","Sch E&E Sc","100.000"
"AG","PGDOE","01/01/2005","PGDOEN","01/01/2005","I","PGDip.Oenology","PGD.Oen","Ag Office","100.000"
"AG","PGDPS","01/01/2010","PGDPLANTSC","01/01/2010","I","PGDip.Plant Science","PGD.PlSc","AgFoodWine","100.000"
"AG","PGDSM","01/01/2010","PGDSOILMGT","01/01/2010","I","PGDip.Soil Mgmt & Conservation","PGD.SoiM&C","Sch E&E Sc","100.000"
"AG","PGDVI","01/01/2005","PGDVIT","01/01/2005","I","PGDip.Viticulture","PGD.Vit","Ag Office","100.000"
"AG","PGDVS","01/01/2010","PGDVETST","01/01/2010","I","PGDip.Veterinary Studies","PGD.VetSt","AgFoodWine","100.000"
"AG","PGDWB","01/01/2005","PGDWINEB","01/01/2005","I","PGDip.Wine Business","PGD.WineB","Ag Office","100.000"
"ARCH","BARBL","01/01/2013","BARC/BLARC","01/01/2013","A","B.Arch. with B.Landscape Arch.","B.Arc/B.LA","SchArcBuEn","100.000"
"ARCH","BARBL","01/01/2013","BLARC/BARC","01/01/2013","A","B.Landscape Arch. with B.Arch.","B.LA/B.Arc","SchArcBuEn","100.000"
"ARCH","BARBL","01/01/2013","HARCHBLA","01/01/2013","A","B.Arch Hons with B.Land Arch","HB.Arc/B.L","SchArcBuEn","100.000"
"ARCH","BARBL","01/01/2013","HLARCBARC","01/01/2013","A","B.Land Arch Hons with B.Arch","HB.LA/B.Ar","SchArcBuEn","100.000"
"ARCH","BARCH","01/01/2013","BARCH","01/01/2013","A","B.Architecture","B.Arch","SchArcBuEn","100.000"
"ARCH","BARCH","01/01/2013","BARCH3YR","01/01/2013","A","B.Architecture","B.Arch","SchArcBuEn","100.000"
"ARCH","BARST","01/01/2013","BARCHST","01/01/2013","A","B.Architectural Studies","B.ArchSt","SchArcBuEn","100.000"
"ARCH","BDEST","01/01/2013","BDESIGNST","01/01/2013","A","B.Architectural Design","B.ArchDes","SchArcBuEn","100.000"
"ARCH","BLARC","01/01/2013","BLARCH","01/01/2013","A","B.Landscape Architecture","B.LArch","SchArcBuEn","100.000"
"ARCH","GCADM","01/01/2010","GCARCHDM","01/01/2010","I","GCert.Arch (Digital Media)","GC.Arc(DM)","Arch&UrbD","100.000"
"ARCH","GCDDM","01/01/2013","GCDESSTDM","01/01/2013","A","GCert. Design in Digital Media","GC.Des DM","SchArcBuEn","100.000"
"ARCH","GCDES","01/01/2013","GCDESST","01/01/2013","A","GCert.Design Studies","GC.DesSt","SchArcBuEn","100.000"
"ARCH","GCDMP","01/01/2010","GCDMPRAC","01/01/2010","I","GCert.Digital Media Practice","GC DMPrac","Arch&UrbD","100.000"
"ARCH","GCDSL","01/01/2013","GCDESSTL","01/01/2013","A","GCert.Design Studies (Lscape)","GC.DeSt(L)","SchArcBuEn","100.000"
"ARCH","GCURB","01/04/2000","GCURBDES","01/01/1901","I","GCert.Urban Design","GC.UrbDes","ArchOffice","100.000"
"ARCH","GDADM","01/01/2013","GDARCHDM","01/01/2013","A","GDip.Arch (Digital Media)","GD.Arc(DM)","SchArcBuEn","100.000"
"ARCH","GDDDM","01/01/2013","GDDESSTDM","01/01/2013","A","GDip. Design in Digital Media","GD.Des DM","SchArcBuEn","100.000"
"ARCH","GDDES","01/01/2013","GDDESST","01/01/2013","A","GDip.Design Studies","GD.DesSt","SchArcBuEn","100.000"
"ARCH","GDDSL","01/01/2013","GDDESSTL","01/01/2013","A","GDip.Des Stud (Landscape)","GD.DeSt(L)","SchArcBuEn","100.000"
"ARCH","GDUBD","01/04/2000","GDURBDES","01/01/1901","I","GDip.Urban Design","GD.UrbDes","ArchOffice","100.000"
"ARCH","HARCH","01/01/2013","HBARCH","01/01/2013","A","B.Architecture - honours","HB.Arch","SchArcBuEn","100.000"
"ARCH","HARCH","01/01/2013","HBARCH3Y","01/01/2013","A","B.Architecture - honours","HB.Arch","SchArcBuEn","100.000"
"ARCH","HDESS","01/01/2014","HBDESIGNST","01/01/2013","A","B.Architectural Design - hons","HB.ArchDes","SchArcBuEn","100.000"
"ARCH","HLARC","01/01/2013","HBLARCH","01/01/2013","A","B.Landscape Arch - honours","HB.LArch","SchArcBuEn","100.000"
"ARCH","MARCC","01/01/2013","MARCHCWK","01/01/2013","A","M.Architecture - coursework","M.Arch-c","SchArcBuEn","100.000"
"ARCH","MARCH","01/01/2013","MARCHCSWK","01/01/2013","A","M. Architecture - coursework","M.Arch-cwk","SchArcBuEn","100.000"
