"Eff_Date","Course_ID","Offer_Nbr","Acad_Group","Subject","Catalogue","Approved","Campus","Sch_Print","Cat_Print","Print","Acad_Org","Career","Schedule_Course","Band_ID","Rq_Group","Discp_Grp_Cd","Field_of_Ed_Cd"
"01/01/2017","001064","1","ECIC","TECHCOMM","5005","A","NTRCE","Y","Y","Y","ECIC","PGCW","N","3","002201","","080399"
"01/01/2017","001064","2","ECIC","TECHCOMM","5005OL","A","OL","Y","Y","Y","ECIC","PGCW","N","3","","","080399"
"01/01/2017","001068","1","ECIC","TECHCOMM","5002","A","NTRCE","Y","Y","Y","ECIC","PGCW","N","3","002201","","080399"
"01/01/2017","001068","2","ECIC","TECHCOMM","5002NA","A","NGA","Y","N","Y","ECIC","PGCW","N","3","002201","","080399"
"01/01/2017","001106","1","MED","MEDIC ST","6000","A","NTRCE","Y","Y","Y","MEDICINE","UGRD","Y","3","","0806","060100"
"01/01/2017","001110","1","MATH","COMP SCI","7000","A","NTRCE","Y","Y","Y","COMPSCI","PGCW","Y","2","","0503","020303"
"01/01/2017","001123","1","ECIC","TECHCOMM","5011","A","NTRCE","Y","Y","Y","ECIC","PGCW","N","3","002201","","080399"
"01/01/2017","001123","2","ECIC","TECHCOMM","5011OL","A","OL","Y","Y","Y","ECIC","PGCW","N","3","002208","","080399"
"01/01/2017","001123","3","ECIC","TECHCOMM","5011EX","A","EXT","Y","Y","Y","ECIC","PGCW","N","3","","","080399"
"01/01/2017","001153","1","CON","MUSIC","2002B","A","NTRCE","Y","Y","Y","CASM","UGRD","N","1","","0605","100101"
"01/01/2017","001175","1","CON","MUSIC","2003B","A","NTRCE","Y","Y","Y","CASM","UGRD","N","1","","0605","100101"
"01/01/2017","001239","1","MED","NURSING","7003OL","A","OL","Y","Y","Y","CLINNURSE","PGCW","Y","5A","","0803","060301"
"01/01/2017","001277","1","CON","MUSIC","2004B","A","NTRCE","Y","Y","Y","CASM","UGRD","N","1","","0605","100101"
"01/01/2017","001313","1","MED","NURSING","5104OL","A","OL","Y","Y","Y","CLINNURSE","PGCW","Y","5A","","0803","060301"
"01/01/2017","001346","1","MATH","STATS","4000B","A","NTRCE","Y","N","Y","MATHSCI","UGRD","N","2","","0501","010103"
"01/01/2017","001371","1","ECO","ECON","7001","A","NTRCE","Y","Y","Y","ECONOMICSS","PGCW","Y","3","","0901","091903"
"01/01/2017","001427","1","SCI","ENV BIOL","3006","A","NTRCE","Y","Y","Y","SCHBIOSCI","UGRD","N","2","","0401","010915"
"01/01/2017","001430","1","CON","MUSIC","2005B","A","NTRCE","Y","Y","Y","CASM","UGRD","N","1","","0605","100101"
"01/01/2017","001458","1","SCI","ENV BIOL","3009","A","NTRCE","Y","Y","Y","SCHBIOSCI","UGRD","Y","2","","0401","010903"
"01/01/2017","001462","1","CON","MUSIC","   1B","A","NTRCE","N","N","N","CASM","NAWD","N","1","","0605","100101"
"01/01/2017","001496","1","MATH","MATHS","3015","A","NTRCE","Y","Y","Y","MATHSCI","UGRD","Y","1","002321","0501","100705"
"01/01/2017","001538","1","MATH","PURE MTH","7002","A","NTRCE","Y","Y","Y","MATHSCI","PGCW","Y","2","","0501","010101"
"01/01/2017","001552","1","CON","MUSIC","   2B","A","NTRCE","N","N","N","CASM","NAWD","N","1","","0605","099999"
"01/01/2017","001596","1","MED","PUB HLTH","7119","A","NTRCE","Y","Y","Y","PUBLICHLTH","PGCW","Y","2","","0809","061300"
"01/01/2017","001625","1","SCI","BIOTECH","3000","A","NTRCE","Y","Y","Y","SCHBIOSCI","UGRD","Y","2","001948","0499","010905"
"01/01/2017","001636","1","BUS","MANAGEMT","7106","A","NTRCE","N","N","Y","BUSSCH","PGCW","N","3","","0904","080303"
"01/01/2017","001636","2","BUS","MANAGEMT","7106NA","A","NGA","N","N","Y","BUSSCH","PGCW","N","3","002190","0904","080303"
"01/01/2017","001676","1","SCI","OENOLOGY","3001WT","A","WAITE","Y","Y","Y","SCHAG&WINE","UGRD","N","2","","1101","019905"
"01/01/2017","001679","1","SCI","PHYSICS","7024","A","NTRCE","Y","Y","Y","SCHPHYSCI","PGCW","Y","2","","0403","010301"
"01/01/2017","001718","1","ARTS","GERM","1002","A","NTRCE","Y","Y","Y","GERMANSTUD","UGRD","Y","1","","0105","091503"
"01/01/2017","001724","1","ENG","ELEC ENG","7002","A","NTRCE","Y","Y","Y","ELECENG","PGCW","Y","2","","0703","010101"
"01/01/2017","001733","1","MATH","APP MTH","3002","A","NTRCE","Y","Y","Y","MATHSCI","UGRD","Y","2","","0501","010101"
"01/01/2017","001806","1","LAW","LAW","7042","A","NTRCE","Y","Y","Y","LAWS","PGCW","N","3","000150","0906","090901"
"01/01/2017","001809","1","BUS","ACCTING","1005","A","NTRCE","Y","Y","Y","BUSSCH","UGRD","N","3","001876","0902","080101"
"01/01/2017","001809","3","BUS","ACCTING","1005BR","A","BRAD","Y","N","Y","BUSSCH","NAWD","Y","3","","0902","080101"
"01/01/2017","001956","2","MATH","COMP SCI","2000","A","NTRCE","Y","Y","Y","COMPSCI","UGRD","Y","2","","0503","020117"
"01/01/2017","001956","3","MATH","COMP SCI","2000NA","A","NGA","Y","N","Y","COMPSCI","UGRD","Y","2","","0503","020117"
"01/01/2017","001958","1","SCI","OENOLOGY","3003WT","A","WAITE","Y","Y","Y","SCHAG&WINE","UGRD","Y","3","","1101","080317"
"01/01/2017","001958","3","SCI","OENOLOGY","3003WA","A","UWA","Y","N","Y","SCINCESFO","UGRD","N","3","","1101","080317"
"01/01/2017","001962","1","ARTS","FREN","1003","A","NTRCE","Y","Y","Y","FRENCHSTUD","UGRD","Y","1","","0105","091505"
"01/01/2017","002072","1","SCI","ENV BIOL","3004","A","NTRCE","Y","Y","Y","SCHBIOSCI","UGRD","Y","2","","0401","010905"
"01/01/2017","002076","4","ECO","ECON","1000NA","A","NGA","Y","Y","Y","ECONOMICSS","UGRD","N","3","","0901","091901"
"01/01/2017","002076","3","ECO","ECON","1000BR","A","BRAD","Y","N","Y","ECONOMICSS","NAWD","N","3","","0901","091901"
"01/01/2017","002076","1","ECO","ECON","1000","A","NTRCE","Y","Y","Y","ECONOMICSS","UGRD","N","3","","0901","091901"
"01/01/2017","002094","1","SCI","ENV BIOL","3010","A","NTRCE","Y","Y","Y","SCHBIOSCI","UGRD","Y","2","","0401","010907"
"01/01/2017","002110","1","ARTS","GERM","1003","A","NTRCE","Y","Y","Y","GERMANSTUD","UGRD","Y","1","","0105","091503"
"01/01/2017","002126","1","ARTS","CHIN","1002","A","NTRCE","Y","Y","Y","ASIANSTD","UGRD","Y","1","","0105","091515"
"01/01/2017","002129","1","SCI","ENV BIOL","3008","A","NTRCE","Y","Y","Y","SCHBIOSCI","UGRD","Y","2","","0401","010915"
"01/01/2017","002137","1","ENG","MECH ENG","2002","A","NTRCE","Y","Y","Y","MECHENG","UGRD","Y","2","","0704","030701"
"01/01/2017","002183","1","MATH","PURE MTH","4001B","A","NTRCE","Y","N","Y","MATHSCI","UGRD","N","2","","0501","010101"
"01/01/2017","002190","1","DENT","DENT","4100BHO","A","HOSP","Y","Y","Y","DENTISTRY","UGRD","N","3","","0807","060701"
"01/01/2017","002193","1","MATH","COMP SCI","7005","A","NTRCE","Y","Y","Y","COMPSCI","PGCW","N","2","","0503","020119"
"01/01/2017","002255","1","SCI","PHYSICS","7007","A","NTRCE","Y","Y","Y","SCHPHYSCI","PGCW","Y","2","","0403","010301"
"01/01/2017","002314","2","MATH","APP MTH","3014","A","NTRCE","Y","Y","Y","MATHSCI","UGRD","Y","2","","0501","010101"
"01/01/2017","002328","1","MATH","COMP SCI","3001","A","NTRCE","Y","Y","Y","COMPSCI","UGRD","Y","2","","0503","020113"
"01/01/2017","002328","3","MATH","COMP SCI","3001NA","A","NGA","Y","N","Y","COMPSCI","UGRD","Y","2","","0503","020113"
"01/01/2017","002328","4","MATH","COMP SCI","3001EX","A","EXT","Y","Y","Y","COMPSCI","UGRD","N","2","","0503","020113"
"01/01/2017","002365","2","BUS","MANAGEMT","7012NA","A","NGA","N","N","Y","BUSSCH","PGCW","Y","3","002190","0904","080301"
"01/01/2017","002365","1","BUS","MANAGEMT","7012","A","NTRCE","N","N","Y","BUSSCH","PGCW","Y","3","002451","0904","080301"
"01/01/2017","002379","1","SCI","SOIL&WAT","7003WT","A","WAITE","Y","Y","Y","SCHAG&WINE","PGCW","Y","2","","1101","010709"
"01/01/2017","002419","1","ECO","ECON","7011","A","NTRCE","Y","Y","Y","ECONOMICSS","PGCW","Y","3","","0901","091901"
"01/01/2017","002427","1","MATH","APP MTH","7007","A","NTRCE","Y","Y","Y","MATHSCI","PGCW","N","2N","","0501","010101"
"01/01/2017","002493","1","ARCH","DESST","4001B","A","NTRCE","Y","Y","Y","ARCH&URBD","UGRD","Y","2","","1001","040101"
"01/01/2017","002520","1","ARTS","FREN","1002","A","NTRCE","Y","Y","Y","FRENCHSTUD","UGRD","Y","1","","0105","091505"
"01/01/2017","002580","3","SCI","OENOLOGY","3007WA","A","UWA","Y","N","Y","SCINCESFO","UGRD","N","2","","1101","019905"
"01/01/2017","002580","1","SCI","OENOLOGY","3007WT","A","WAITE","Y","Y","Y","SCHAG&WINE","UGRD","Y","2","002185","1101","019905"
"01/01/2017","002589","2","BUS","MANAGEMT","7015NA","A","NGA","N","N","Y","BUSSCH","PGCW","N","3","002190","0904","080301"
"01/01/2017","002589","1","BUS","MANAGEMT","7015","A","NTRCE","N","N","Y","BUSSCH","PGCW","N","3","","0904","080301"
"01/01/2017","002599","1","SCI","BIOCHEM","3000","A","NTRCE","Y","Y","Y","SCHBIOSCI","UGRD","Y","2","002137","0401","010901"
"01/01/2017","002618","1","MATH","COMP SCI","7007","A","NTRCE","Y","Y","Y","COMPSCI","PGCW","Y","2","","0503","020103"
