"Acad_Org","Eff_Date","Status","Descr","Short_Desc","FormalDesc","Institution","Campus","MgrID","Instr_Edit","Campus_Edit","Subject_Edit","Course_Edit","AOU_Code","DeptID"
"PALACE","01/01/2002","I","Faculty of Professions","Profession","Faculty of Professions","UNIAD","NTRCE","","I","N","N","Y","901","5000"
"PAEDIAT-RA","01/01/2006","I","Paediatrics - RAH(Inactive)","Pae-RAH(I)","Department of Paediatrics - RAH(Inactive)","UNIAD","HOSP","","P","N","N","N","631","3816"
"SCHSOCSCI","01/01/2003","A","Sch of Social Sciences","Sch SocSci","School of Social Sciences","UNIAD","NTRCE","","I","N","Y","N","650","4010"
"SCHHUMS","01/01/2003","A","School of Humanities","Sch Hums","School of Humanities","UNIAD","NTRCE","","I","N","Y","N","651","4020"
"SCIENCES","01/01/2003","I","Science","Science","Science","UNIAD","NTRCE","","I","N","N","Y","934","2560"
"GRADSTUD","01/01/2003","A","Adelaide Graduate Centre","AGC","Adelaide Graduate Centre","UNIAD","NTRCE","","P","N","N","N","955","6360"
"OBS&GYN-LM","01/01/2006","I","Obst & Gynae - LMcE(Inactive)","ObG-LME(I)","Dept of Obstetrics & Gynaecology-Lyell McE(Inact)","UNIAD","HOSP","","P","N","N","N","619","3797"
"OBS&GYN-QE","01/01/2006","I","Obst & Gynae - QEH(Inactive)","O&G-QEH(I)","Dept of Obstetrics & Gynaecology - QEH(Inactive)","UNIAD","HOSP","","P","N","N","N","620","3795"
"OBS&GYN-WC","01/01/2006","I","Obst & Gynae - WCH(Inactive)","O&G-WCH(I)","Dept of Obstetrics & Gynaecology - WCH(Inactive)","UNIAD","HOSP","","P","N","N","N","621","3796"
"ORTH&TR-LM","01/01/2006","I","Orth & Trauma-LME(Inactive)","O&T-LME(I)","Dept of Orthopaedics & Trauma-Lyell McEwin(Inact)","UNIAD","HOSP","","P","N","N","N","622","3800"
"ORTH&TR-MO","01/01/2006","I","Orth & Trauma-MOD(Inactive)","O&T-MOD(I)","Dept of Orthopaedics & Trauma-MOD(Inactive)","UNIAD","HOSP","","P","N","N","N","623","3800"
